"material","value","passage"
"(FeCoNiCr)94Ti2Al4 HEA",645,"The effect of carbon on the microstructures, mechanical properties, and deformation mechanisms of thermo-mechanically treated Fe40.4Ni11.3Mn34.8Al7.5Cr6 high entropy alloys. The precipitation of intermetallic particles is also a promising way to strengthen HEAs [7]. For example, a fine dispersion of coherent L12 Ni3(Ti, Al)-type nano-precipitates was introduced in a f.c.c. (FeCoNiCr)94Ti2Al4 HEA by thermo-mechanical treatment, producing a high yield strength (645 MPa) and good ductility (39% elongation) [8]."
"FeNiMnAlCr HEA (with 1.1 at. %% carbon)",355,"The effect of carbon on the microstructures, mechanical properties, and deformation mechanisms of thermo-mechanically treated Fe40.4Ni11.3Mn34.8Al7.5Cr6 high entropy alloys. Recently, using a different strengthening approach, Wang et al. [10,11] dissolved up to 1.1. at. %% carbon in a f.c.c. FeNiMnAlCr HEA, which not only increased both the yield strength and ultimate tensile strength remarkably, but also produced a sharp increase in tensile elongation, i.e. 1.1 at. %% carbon increased the yield strength from 159 MPa to 355 MPa while the tensile elongation increased from 41% to 50%."
"CoCrFeMnNi (larger grain size)",170,"The effect of carbon on the microstructures, mechanical properties, and deformation mechanisms of thermo-mechanically treated Fe40.4Ni11.3Mn34.8Al7.5Cr6 high entropy alloys. In order to develop successful engineering alloys, various strengthening mechanisms, such as grain boundary and precipitation strengthening, have been introduced to improve the strength of f.c.c.-structured HEAs. For example, a significant increase in yield strength (from ∼ 170 MPa to ∼ 360 MPa) was observed in a f.c.c. CoCrFeMnNi HEA when the grain size was decreased from 155 μm to 4.4 μm [5], and Fu et al. [6] have produced the highest yield strength (1795 MPa) for a HEA, thus far, in nanocrystalline f.c.c. Co25Ni25Fe25Al7.5Cu17.5 with a grain size of 95 nm."
"(AlCoCrFeNi)100-x Ni x (0 at.%% Ni)",1245,"Composition design of high entropy alloys using the valence electron concentration to balance strength and ductility. Fig. 6 shows compressive mechanical properties for the (AlCoCrFeNi)100-x Ni x and (CoCrCuFeNi)100-x Mo x HEAs. The following changes occurred in the (AlCoCrFeNi)100-x Ni x HEA as the Ni concentration was increased from 0 at.%% to 16 at.%% (refer to Fig. 6(a)): The fracture strain increased from 25% to 40%, the compressive yield strength changed from 1245 MPa to 355 MPa, and the ultimate strength decreased from 3092 MPa to 2639 MPa."
"(CoCrCuFeNi)100-x Mo x (16 at.%% Mo)",928,"Composition design of high entropy alloys using the valence electron concentration to balance strength and ductility. 4. As the Mo content increased from 0 at.%% to 16 at.%%, the compressive yield strength of the (CoCrCuFeNi)100-x Mo x matrix increased from 260 MPa to 928 MPa."
"(CoCrCuFeNi)100-x Mo x (16 at.%% Mo)",928,"Composition design of high entropy alloys using the valence electron concentration to balance strength and ductility. The phase structure for the (CoCrCuFeNi)100-x Mo x matrix transformed from FCC to BCC as the Mo content increased from 0 at.%% to 16 at.%%, while the BCC volume fraction increased from 0% to 65%, and the VEC decreased from 8.8 to 8.3. As the Mo content increased from 0 at.%% to 16 at.%%, the compressive yield strength of the (CoCrCuFeNi)100-x Mo x matrix increased from 260 MPa to 928 MPa."
"(AlCoCrFeNi)100-x Ni x (16 at.%% Ni)",355,"Composition design of high entropy alloys using the valence electron concentration to balance strength and ductility. Fig. 6 shows compressive mechanical properties for the (AlCoCrFeNi)100-x Ni x and (CoCrCuFeNi)100-x Mo x HEAs. The following changes occurred in the (AlCoCrFeNi)100-x Ni x HEA as the Ni concentration was increased from 0 at.%% to 16 at.%% (refer to Fig. 6(a)): The fracture strain increased from 25% to 40%, the compressive yield strength changed from 1245 MPa to 355 MPa, and the ultimate strength decreased from 3092 MPa to 2639 MPa."
"(CoCrCuFeNi)100-x Mo x (0 at.%% Mo)",260,"Composition design of high entropy alloys using the valence electron concentration to balance strength and ductility. 4. As the Mo content increased from 0 at.%% to 16 at.%%, the compressive yield strength of the (CoCrCuFeNi)100-x Mo x matrix increased from 260 MPa to 928 MPa."
"(CoCrCuFeNi)100-x Mo x (0 at.%% Mo)",260,"Composition design of high entropy alloys using the valence electron concentration to balance strength and ductility. The phase structure for the (CoCrCuFeNi)100-x Mo x matrix transformed from FCC to BCC as the Mo content increased from 0 at.%% to 16 at.%%, while the BCC volume fraction increased from 0% to 65%, and the VEC decreased from 8.8 to 8.3. As the Mo content increased from 0 at.%% to 16 at.%%, the compressive yield strength of the (CoCrCuFeNi)100-x Mo x matrix increased from 260 MPa to 928 MPa."
"High Entropy Alloy (Current Experiment)",1866,"Transformation induced softening and plasticity in high entropy alloys. The grain size and grain distribution would cause the elastic modulus deviation from the experimental value, while at the plastic stage all curves are similar to the deformation trend. The yield strength for strain rate 5 × 10^(6) s^(-1) is 1.866 GPa with 4% error compared to the previous experiment value of 1.795 GPa [4]."
"Al0.3CoCrFeNi",1600,"Modifying transformation pathways in high entropy alloys or complex concentrated alloys via thermo-mechanical processing. The addition of Ti, Mo, Nb in CoCrFeNi (quaternary alloy) and Al0.3CoCrFeNi alloy systems has further strengthened the alloy at room temperature by forming strong precipitate phases [48–55]. The Al0.3CoCrFeNi alloy displayed high yield strength of 1600 MPa in fiber form at 77 K [12] and shows good radiation resistance up to 60 peak dpa [23]."
"σ0",95,"Modifying transformation pathways in high entropy alloys or complex concentrated alloys via thermo-mechanical processing. While the CRSA and CRSA-620 samples had relatively coarse fcc grains (∼20 μm), the CR-620 sample had a highly refined recrystallized microstructure with ∼1–3 μm fcc grains. Previous work clearly demonstrates that this alloy exhibits a very large Hall-Petch hardening coefficient, and a Hall-Petch type relationship has been determined for the yield strength of the single fcc phase in this alloy [47]:σ and intrinsic yield strength of the alloy σ0, being 824 MPa (μm^(0.5)) and 95 MPa respectively [47]."
"fcc-based high entropy alloys",850,"Enhancing strength and strain hardenability via deformation twinning in fcc-based high entropy alloys reinforced with intermetallic compounds. On the other hand, local stresses near fcc-B2-sigma multiphase grain clusters were accommodated via surprisingly constrained cracking of sigma grains, dislocation plasticity in fcc and B2, and nano-scale twinning within fcc. Together, these mechanisms resulted in excellent strain-hardenability and a good combination of strength (yield strength ∼850 MPa and ultimate tensile strength ∼1 GPa) and ductility (∼30%), which are comparable to TWIP steels and better than many commercial titanium alloys."
"fcc-based high entropy alloys",5000,"Enhancing strength and strain hardenability via deformation twinning in fcc-based high entropy alloys reinforced with intermetallic compounds. The stress-strain plot shown in Supplementary Fig. 9a depicts the mechanical response of our prototype systems. The onset of yielding appears to occur at ∼5 GPa and 3–3.5% strains."
"Ni2CoCrFeNb0.15 HEA (with γ″ precipitates)",954,"Design of D022 superlattice with superior strengthening effect in high entropy alloys. · The γ″ phase showed superior strengthening effect. The γ″ precipitates with a volume fraction of 7% enhanced the yield strength of the Ni2CoCrFeNb0.15 HEA by 670 MPa, resulting in excellent combination of yield strength (954 MPa) and ductility (27%); · The strengthening mechanisms of the γ″ phase are mainly attributed to ordering strengthening and coherency strengthening."
"γ′′-bearing HEA",954,"Design of D022 superlattice with superior strengthening effect in high entropy alloys. Following this design strategy, a γ′′ phase with D022 superlattice was introduced into the CoCrFeNi system. An excellent yield strength of ∼954 MPa and elongation of ∼28% were obtained in this γ′′-bearing HEA."
"80 h–annealed sample (γ″ phase)",954,"Design of D022 superlattice with superior strengthening effect in high entropy alloys. The solid solution treated HEA shows a yield strength of ∼284 MPa, an ultimate tensile strength of ∼710 MPa, and a fracture elongation of ∼71%. The γ″ phase in the 80 h–annealed sample dramatically increases the yield strength to ∼954 MPa and the ultimate tensile strength to ∼1230 MPa."
"Solid solution treated HEA",284,"Design of D022 superlattice with superior strengthening effect in high entropy alloys. The solid solution treated HEA shows a yield strength of ∼284 MPa, an ultimate tensile strength of ∼710 MPa, and a fracture elongation of ∼71%. The γ″ phase in the 80 h–annealed sample dramatically increases the yield strength to ∼954 MPa and the ultimate tensile strength to ∼1230 MPa."
"solid solution treated HEA",284,"Design of D022 superlattice with superior strengthening effect in high entropy alloys. Fig. 5 (a) shows the representative engineering stress-strain curves. The solid solution treated HEA shows a yield strength of ∼284 MPa, an ultimate tensile strength of ∼710 MPa, and a fracture elongation of ∼71%."
"Ni2CoCrFe HEA",197,"Design of D022 superlattice with superior strengthening effect in high entropy alloys. To evaluate the solid solution strengthening effect in the present study, a recrystallized single-phase Ni2CoCrFe HEA is prepared and tested. The yield strength of the Ni2CoCrFe HEA is measured to be 197 MPa (not shown in the figures)."
"NbTaTi",20,"Solid-solution strengthening in refractory high entropy alloys. For the Hall-Petch term:k LP is a constant, usually called the locking parameter. Since the material studied in this work with the finest grain size is the wrought NbTaTi, with an average grain size of around 400 μm (shown in the Supplementary Materials section), the grain size contribution is small; taking, for example, the average k LP constant for these three metals (430 MPa μm^(-1/2)) [39], the contribution of this term to the total yield stress of the material should be around 20 MPa, which is small compared to the experimentally-measured yield strengths."
"refractory BCC high entropy alloys",50,"Mechanistic origin of high strength in refractory BCC high entropy alloys up to 1900K. However, while the average grain size of the as-cast materials is fairly large, 80 - 200 μ m , there is likely some modest H-P effect. An empirical rule-of-mixtures relation can be used along with the measured Hall-Petch effects in the elemental metals [11], resulting in a temperature-independent increase of the yield strength by ∼ 50 MPa."
"nanocrystalline high entropy alloys",1600,"Irradiation induced creep in nanocrystalline high entropy alloys. A detailed discussion of the yielding behavior is outside of the scope of this work. The main conclusions relevant to the IIC experiments are; no significant pillar size effect was observed for diameters between ≈ 100 nm and ≈ 450 nm, and the lowest average yield strength for any condition tested was σ y = 1.6 ± 0.2 GPa."
"equiatomic HfNbTaTiZr alloy",958,"High entropy alloys: A focused review of mechanical properties and deformation mechanisms. For example, as reported by Juan et al. [170], an equiatomic HfNbTaTiZr alloy possess an ultimate tensile strength of 974 MPa while maintaining 20% elongation at ambient temperature. It should be noted that this kind of single BCC phase HEA displayed almost negligible work hardening capability (yield strength: 958 MPa) – a characteristic significantly different from TRIP or DP steels."
"Cantor alloy (100 s^(-1) strain rate)",650,"High entropy alloys: A focused review of mechanical properties and deformation mechanisms. At a higher (intermediate) strain rate of 100 s^(-1), a recent study has shown that both yield and flow stresses are significantly enhanced. For Cantor alloy specimens with a grain size of ~10 µm, the tensile yield strength increased by ~35% from 484 to 650 MPa when the strain rate was increased from 10^(-3) to 100 s^(-1) with a corresponding increase of the ultimate tensile strength from 853 to 968 MPa [238]."
"RhIrPtPdCuNi HEA (reported)",526,"High entropy alloys: A focused review of mechanical properties and deformation mechanisms. The full model was used to predict the T=0 K strengths measured in atomistic simulations of the model Cr-Fe-Ni system, again with good agreement across a range of alloys [237]. The model was most recently applied to the RhIrPtPdCuNi noble metal HEA using Vegard's law for the misfit volumes (all elements crystallize in FCC) and a rule-of-mixtures for the elastic constants [85] leading to a predicted yield strength at T=300 K and strain rate 10^(-4)/s of 520–580 MPa as compared to the single reported value of 526 MPa [315]."
"Cantor alloy (10^(-3) s^(-1) strain rate)",484,"High entropy alloys: A focused review of mechanical properties and deformation mechanisms. At a higher (intermediate) strain rate of 100 s^(-1), a recent study has shown that both yield and flow stresses are significantly enhanced. For Cantor alloy specimens with a grain size of ~10 µm, the tensile yield strength increased by ~35% from 484 to 650 MPa when the strain rate was increased from 10^(-3) to 100 s^(-1) with a corresponding increase of the ultimate tensile strength from 853 to 968 MPa [238]."
"Cantor alloy (room temperature)",70,"High entropy alloys: A focused review of mechanical properties and deformation mechanisms. Critical resolved shear stress: Single-crystal yield stresses have become available only within the last two to three years. For the Cantor alloy, the first compression tests on bulk single crystals [224] yielded a value for the critical resolved shear stress (CRSS) of 70 MPa at room temperature and 175 MPa at 77 K."
"CoCrFeMnNi",605,"Dislocation-based serrated plastic flow of high entropy alloys at cryogenic temperatures. The highest temperatures where serrations appear during deformation starting at yield point are reportedly higher for CoCrFeMnNi (15 K) than for 316 LN steel (7 K) [21], which was formerly reported as having one of the highest temperatures of any metallic materials, for the same. This comparison is also noteworthy considering the substantially higher yield strength (σ YS) of 316 LN, ~ 1100 MPa at 34 K [21] in contrast to only 605 MPa for CoCrFeMnNi at 35 K [15], implying a higher strength does not automatically correspond with a higher tendency towards serrated flow."
"CrCoNi base alloy",70,"Ordering effects on deformation substructures and strain hardening behavior of a CrCoNi based medium entropy alloy. Although the LRO L12 domains have an interconnected morphology, here we assume that the LRO L12 domains present themselves to gliding dislocations as discrete regions to estimate their contribution to strengthening. For an increase of yield strength of about 70MPa as compared with CrCoNi base alloy and assuming this increase of strength is mainly due to the contribution of LRO domains, the γ A P B of LRO domains is estimated to be around 122 mJ/m^(2) using Eq. (4), which is much smaller than the APB energy of fully ordered L12 γʹ precipitates in nickel-base superalloys (around 200 mJ/m^(2)) [70] or the APB energy of L12 ordered precipitates in high entropy alloys (198mJ/m^(2)) [87,88]."
"After SMAT",890,"Designing structures with combined gradients of grain size and precipitation in high entropy alloys for simultaneous improvement of strength and ductility. The strain hardening rate Θ and the true stress are plotted as a function of true strain for these samples in Fig. 5b. After SMAT, the yield strength is elevated to about 890 MPa as compared to about 340 MPa for the as-annealed sample, while the uniform elongation is reduced to about 10 % from about 43 % for the as-annealed samples."
"As-annealed",340,"Designing structures with combined gradients of grain size and precipitation in high entropy alloys for simultaneous improvement of strength and ductility. The strain hardening rate Θ and the true stress are plotted as a function of true strain for these samples in Fig. 5b. After SMAT, the yield strength is elevated to about 890 MPa as compared to about 340 MPa for the as-annealed sample, while the uniform elongation is reduced to about 10 % from about 43 % for the as-annealed samples."
"Partially-annealed",1610,"Theory-guided design of high-strength, high-melting point, ductile, low-density, single-phase BCC high entropy alloys. The melting point is confirmed to be > 2000 ∘ C and the density ρ = 8.86 g / cm 3 is low. Furthermore, the measured room temperature hardness is 4.96 ± 0.12 GPa (as-cast) and 5.32 ± 0.38 GPa (partially-annealed), corresponding to yield strengths estimated as 1.50 GPa and 1.61 GPa (HV/3.3), respectively."
"As-cast",1500,"Theory-guided design of high-strength, high-melting point, ductile, low-density, single-phase BCC high entropy alloys. The melting point is confirmed to be > 2000 ∘ C and the density ρ = 8.86 g / cm 3 is low. Furthermore, the measured room temperature hardness is 4.96 ± 0.12 GPa (as-cast) and 5.32 ± 0.38 GPa (partially-annealed), corresponding to yield strengths estimated as 1.50 GPa and 1.61 GPa (HV/3.3), respectively."
"HfMoNbTaTi",1480,"Theory-guided design of high-strength, high-melting point, ductile, low-density, single-phase BCC high entropy alloys. The one remaining alloy HfMoNbTaTi has excellent properties (Fig. 1 ). In particular, it has a predicted melting point of 2145 ∘ C, a decomposition temperature of only 854 ∘ C, a predicted room temperature yield strength of 1.48 GPa, and a VEC = 4.8 ."
"AlCoCrFeNi2.1",1481,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. The strength and elongation of the heat-treated samples were considerably higher and significantly lower, respectively, than those of the as-deposited samples. The yield strength and ultimate tensile strength of the heat-treated lamellar AlCoCrFeNi2.1 sample reached 1481 ± 34 MPa and 1660 ± 3 MPa, respectively, which were comparable to the corresponding values of wrought samples [17,40]."
"As-deposited lamellar sample (estimated)",1260,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. Considering the synergistic effects of various strengthening mechanisms, the yield strength of the LPBF-fabricated metallic materials can be expressed as follows: σ 0 is the friction stress (95 MPa for the Al0.3CoCrFeNi HEA [76]), Δ σ GB , Δ σ GND , Δ σ d , and Δ σ p are the grain boundary, phase interface, dislocation, and precipitation strengthening contributions. The yield strength of the as-deposited lamellar sample was estimated to be 1260 MPa, which was consistent with the experimental value (∼1210 MPa) ( Fig. 16a)."
"AlCoCrFeNi2.1",1210,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. The yield strength and ductility of the as-deposited cellular AlCoCrFeNi2.1 sample were at least 400 MPa and 60% higher, respectively, than those of EHEAs fabricated using conventional methods [6,38,39]. Moreover, the strength of as-deposited lamellar sample further improved, and a high yield strength of 1210 ± 23 MPa, ultimate tensile strength of 1414 ± 18 MPa and elongation of 16 ± 1% were achieved, which were comparable to the highest strength of HEAs fabricated via LPBF."
"AlCoCrFeNi2.1 EHEAs",1210,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. The yield strengths of the AlCoCrFeNi2.1 EHEAs in this study were higher than those of other alloys prepared via conventional casting and directional solidification. Moreover, the yield strength of 1210 MPa and elongation of 16% of the LPBF-produced AlCoCrFeNi2.1 EHEAs in this study were superior to those of EHEA produced via severe plastic deformation followed by heat treatment."
"AlCoCrFeNi2.1 EHEA",1210,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. After multiple LPBF cycles, oxide impurities became attached to the powder surface and disturbed stable growth of lamellae during material building and led to the formation of a cellular structure. ● The as-deposited AlCoCrFeNi2.1 EHEA with ultra-fine lamellar structure exhibited a high yield strength of 1210 MPa, an ultimate tensile strength of 1414 MPa, and an elongation of 16%."
"AlCoCrFeNi2.1 EHEA",1210,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. After multiple LPBF cycles, oxide impurities became attached to the powder surface and disturbed stable growth of lamellae during material building and led to the formation of a cellular structure. The as-deposited AlCoCrFeNi2.1 EHEA with ultra-fine lamellar structure exhibited a high yield strength of 1210 MPa, an ultimate tensile strength of 1414 MPa, and an elongation of 16%."
"AlCoCrFeNi2.1",1042,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. Fig. 12a shows the results of the uniaxial tensile test for the as-deposited and heat-treated lamellar and cellular samples at room temperature. The as-deposited cellular AlCoCrFeNi2.1 sample presented remarkable strength and ductility; the yield strength, ultimate tensile strength and elongation of the sample were 1042 ± 25 MPa, 1303 ± 21 MPa, and 26 ± 2%, respectively."
"AlCoCrFeNi2.1 EHEA",1042,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. ● The two-hierarchical dual-phase structure resulted in the excellent strain-hardening behavior of the AlCoCrFeNi2.1 EHEA during tensile deformation. The as-deposited cellular AlCoCrFeNi2.1 EHEA sample presented a remarkable strength–ductility trade-off, with a yield strength of 1042 MPa, an ultimate tensile strength of 1303 MPa, and an elongation of 26%."
"AlCoCrFeNi2.1 EHEA",1042,"New insight into tailorable eutectic high entropy alloys with remarkable strength–ductility synergy and ample shaping freedom fabricated using laser powder bed fusion. The two-hierarchical dual-phase structure resulted in the excellent strain-hardening behavior of the AlCoCrFeNi2.1 EHEA during tensile deformation. The as-deposited cellular AlCoCrFeNi2.1 EHEA sample presented a remarkable strength–ductility trade-off, with a yield strength of 1042 MPa, an ultimate tensile strength of 1303 MPa, and an elongation of 26%."
"CrFeMnNi high entropy alloys",700,"Development of a plasticity-oriented interatomic potential for CrFeMnNi high entropy alloys. Given our simulations conditions (ρ = 0.7 × 10 14 m - 2 and v = 45 m / s ) , one obtains the strain rate ε ̇ in the order of 2 × 10 5 s - 1 , which excludes comparison with an estimated quasi-static experimental tensile test. At high strain rates 4700 s - 1 , Park et al., [73] reported yield stress close to 700 MPa for 16 µm grain-size polycrystals."
"Cr18FeMnNi",300,"Development of a plasticity-oriented interatomic potential for CrFeMnNi high entropy alloys. In the past few years, several Co-free HEAs have been designed and tested. The Cr18FeMnNi (wt.%%) HEA shows mechanical properties at room temperature similar to standard stainless steels (yield strength (YS) near 300 MPa, and elongation below 40 %) [27]."
"fcc/bcc DP-HEAs",5600,"Evolution of interfacial character and its influence on strain hardening in dual-phase high entropy alloys at nanoscale. The enhanced atomic radius misfit and reduced mixing enthalpy at layer interface are responsible for the phase transition behavior. Furthermore, yield strength of fcc/bcc DP-HEAs goes up with decreasing h, reaching the maximum value of 5.6 GPa at h = 10 nm that is the highest reported strength of the metallic multilayers as far as we know."
"dual-phase high entropy alloys",5600,"Evolution of interfacial character and its influence on strain hardening in dual-phase high entropy alloys at nanoscale. Fig. 6 a shows the uniaxial compressive stress-strain curves of fcc/bcc DP-HEAs pillars with different h. The yield strength (σy) remarkably increases to the maximum value of 5.6 GPa at h = 10 nm, which is the reported highest strength of the metallic multilayers."
"Dual-phase high entropy alloy",5580,"Evolution of interfacial character and its influence on strain hardening in dual-phase high entropy alloys at nanoscale. Note that the k is well described by the equation of k = τ * μ b π ( 1 - v ) , where τ* is the barrier strength of interface for slip transmission, μ is shear modulus (87 GPa), b is Burgers vector (0.2524 nm), and v is 0.33. As a result, the barrier strength can be calculated as 1.86 GPa and the strength is thus 5.58 GPa since it equals to the product of the barrier strength and Taylor factor of 3.0, which is in good agreement with the measured maximum yield strength of 5.60 GPa."
"Cr 0.3 NbMoTiV 0.6 Zr 0.3",1619,"Refractory high entropy alloys: CrMoNbTiVWZr and Al x Cr y NbMoTiV z Zr y (x = 0,0.6;y = 0.3,z = 0,0.6). All values are substantial both in the as-cast and annealed states, the value of the hardness in the as cast state and after heat treatment are comparable, possibly because of the combined effect of the HEA solid solution and secondary phases. The Cr 0.3 NbMoTiV 0.6 Zr 0.3 was chosen for compression testing which resulted in brittle behaviour with yield strength of 1619 MPa."
"MoNbTaW alloy",405,"Microstructure characteristics and mechanical properties of Hf0.5Mo0.5NbTiZr refractory high entropy alloy with Cr addition. The refractory high entropy alloys possess ultra-high melting temperature and exhibit the desirable high temperature strength [13–16]. For instance, the reported MoNbTaW alloy exhibited the yield strength of 405 MPa at 1600 °C [8,17]."
"Nb25Mo25Ta25W25 and V20Nb20Mo20Ta20W20",477,"Microstructure and mechanical properties of a novel refractory high entropy alloy HfMoScTaZr. Refractory high entropy alloys show very encouraging properties [2–13]. In 2011, Senkov et al. [14] developed Nb25Mo25Ta25W25 and V20Nb20Mo20Ta20W20 refractory high entropy alloys, which have high compression yield strength (477 MPa at 1600 °C) and good high temperature stability."
"MoNbTaW and MoNbTaVW HEAs",400,"Microstructure and mechanical properties of MoNbW(TaC)x composites. RHEAs (refractory high entropy alloys), which are mainly composed of refractory metal elements Mo, Ti, V, Nb, Hf, Ta, Cr, and W, exhibit ultrahigh strength at elevated temperatures and show potential application prospects of novel high-temperature materials [8–13]. Among RHEAs, MoNbTaW and MoNbTaVW HEAs have been extensively investigated owing to their high yield strengths of above 400 MPa at 1600 °C [12]."
"W23Mo23V17Cr8Ta7Fe22",1688,"Processing and characterization of W23Mo23V17Cr8Ta7Fe22 and WMoVCrTa refractory high entropy alloys. The typical engineering stress-strain plots of W23Mo23V17Cr8Ta7Fe22 alloy at four different temperatures are shown in Fig. 11 . At 25 °C, the yield stress of the alloy was 1688 MPa at a strain of 7.1%."
